,1_times_lag9,2_times_lag9,test_percentage
0,22.298746,23.027943,47.852499999999964
1,40.34005,38.944073,4.31880000000001
2,3.4470153,6.3018947,-136.55650000000014
3,-110.36467,-111.82491,57.13110000000006
4,44.14305,48.34126,33.314800000000105
5,27.899702,28.25383,-33.35599999999977
6,-28.527575,-23.656828,-36.26630000000023
7,-29.885729,-25.72287,31.066200000000208
8,25.28625,26.80653,74.66640000000007
9,61.85138,60.92545,-5.442600000000311
10,-4.653332,-2.6243052,-0.3346999999998843
11,-1.7105775,0.8005767,10.814699999999903
12,8.890209,10.403723,2.6937000000002627
13,2.1020374,3.5052996,-61.11740000000009
14,-53.673283,-48.116615,-45.93589999999995
15,-38.963017,-33.910557,25.624199999999746
16,20.378153,22.244362,-27.77619999999979
17,-23.36386,-20.139988,95.8145999999997
18,78.360565,79.139244,79.60300000000007
19,66.02067,63.35174,6.461700000000292
