,1_times_lag9,2_times_lag9,test_value
0,3076.5453461090087,3077.2745426574706,3102.0991
1,3142.4391497436523,3141.0431727233886,3106.4179
2,3109.864915285492,3112.7197946647643,2969.8614
3,2859.496730200195,2858.0364869750974,3026.9925
4,3071.135551147461,3075.3337590026854,3060.3073
5,3088.2070020721435,3088.5611299560546,3026.9513
6,2998.4237254608156,3003.2944720733644,2990.685
7,2960.7992711639404,2964.962130126953,3021.7512
8,3047.0374491607668,3048.5577299987795,3096.4176
9,3158.2689793945315,3157.343049371338,3090.975
10,3086.321667766571,3088.3506947517394,3090.6403
11,3088.9297225120545,3091.440876686859,3101.455
12,3110.345209197998,3111.8587227630615,3104.1487
13,3106.2507374298098,3107.6539995681765,3043.0313
14,2989.358017376709,2994.91468470459,2997.0954
15,2958.1323834899904,2963.1848432067873,3022.7196
16,3043.09775284729,3044.9639618774413,2994.9434
17,2971.5795408233644,2974.8034120544435,3090.758
18,3169.1185651855467,3169.8972440795897,3170.361
19,3236.381668029785,3233.7127417907714,3176.8227
