,1_times_lag9,test_value
0,3076.822127191162,3102.0991
1,3122.6720484558105,3106.4179
2,3114.670537863159,2969.8614
3,2975.477660051727,3026.9925
4,3046.5603634643553,3060.3073
5,3078.586810498047,3026.9513
6,3049.751318310547,2990.685
7,2997.563692626953,3021.7512
8,3021.445045331669,3096.4176
9,3094.731332981682,3090.975
10,3095.341464138031,3090.6403
11,3100.161195957947,3101.455
12,3110.435951309204,3104.1487
13,3104.6261359166624,3043.0313
14,3050.7067055023194,2997.0954
15,3002.806002283478,3022.7196
16,3040.2415535827636,2994.9434
17,2999.657049272919,3090.758
18,3110.756294830322,3170.361
19,3161.054284034729,3176.8227
